"TABLE","TABLEDESC","BEGINYEAR","ENDYEAR","COMPONENT"
"UPHOPM_I","Pyrethroids, Herbicides, & Organophosphorus Metabolites - Urine",2015,2016,"Laboratory"
"SSFR_J","Flame Retardants - Urine (Surplus)",2017,2018,"Laboratory"
"FAS_H","Fatty Acids - Serum",2013,2014,"Laboratory"
"FAR_K_R","Fatty Acids - Washed RBCs",2019,2020,"Laboratory"
"SSTERP_H","Terpenes – Serum (Surplus)",2013,2014,"Laboratory"
"P_FR","Flame Retardants - Urine",2017,2020,"Laboratory"
"DOXPOL_G","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples",2011,2012,"Laboratory"
"SSGLYP_J","Glyphosate (GLYP) - Urine (Surplus)",2017,2018,"Laboratory"
"SSAGP_J","Alpha-1-Acid Glycoprotein - Serum (Surplus)",2017,2018,"Laboratory"
"P_OPD","Organophosphate Insecticides - Dialkyl Phosphate Metabolites - Urine",2017,2020,"Laboratory"
"HBVR_K_R","Hemoglobin Variants",2019,2020,"Laboratory"
"P_SSFR","Flame Retardants - Urine (Surplus)",2017,2020,"Laboratory"
"P_PERNT","Perchlorate, Nitrate & Thiocyanate - Urine",2017,2020,"Laboratory"
"UCPREG_L","Urine Pregnancy Test",2021,2023,"Laboratory"
"AGP_L","alpha-1-Acid Glycoprotein",2021,2023,"Laboratory"
"FERTIN_L","Ferritin",2021,2023,"Laboratory"
"TFR_L","Transferrin Receptor",2021,2023,"Laboratory"
"CBC_L","Complete Blood Count with 5-Part Differential in Whole Blood",2021,2023,"Laboratory"
"FOLATE_L","Folate - RBC",2021,2023,"Laboratory"
"TST_L","Sex Steroid Hormone Panel - Serum",2021,2023,"Laboratory"
"P_SSAGP","Alpha-1-Acid Glycoprotein - Serum (Surplus)",2017,2020,"Laboratory"
"P_PFAS","Perfluoroalkyl and Polyfluoroalkyl Substances",2017,2020,"Laboratory"
"INS_L","Insulin",2021,2023,"Laboratory"
"GLU_L","Plasma Fasting Glucose",2021,2023,"Laboratory"
"FASTQX_L","Fasting Questionnaire",2021,2023,"Laboratory"
"GHB_L","Glycohemoglobin",2021,2023,"Laboratory"
"FOLFMS_L","Serum Folate Forms - Total & Individual - Serum",2021,2023,"Laboratory"
"VID_L","Vitamin D",2021,2023,"Laboratory"
"PBCD_L","Lead, Cadmium, Total Mercury, Selenium, & Manganese – Blood",2021,2023,"Laboratory"
"IHGEM_L","Mercury:  Inorganic, Ethyl, and Methyl - Blood",2021,2023,"Laboratory"
"DOXPOL_I","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples",2015,2016,"Laboratory"
"HEPA_L","Hepatitis A",2021,2023,"Laboratory"
"HEPB_S_L","Hepatitis B Surface Antibody",2021,2023,"Laboratory"
"HPVN_H_R","Human Papillomavirus (HPV) - 6, 11, 16, 18, 31, 33, 45, 52, & 58 Antibody – Serum: M9ELISA",2013,2014,"Laboratory"
"HPVN_I_R","Human Papillomavirus (HPV) - 6, 11, 16, 18, 31, 33, 45, 52, & 58 Antibody – Serum: M9ELISA",2015,2016,"Laboratory"
"UPHOPM_J","Pyrethroids, Herbicides, & Organophosphorus Metabolites – Urine",2017,2018,"Laboratory"
"HSCRP_L","High-Sensitivity C-Reactive Protein",2021,2023,"Laboratory"
"HDL_L","Cholesterol – High-Density Lipoprotein",2021,2023,"Laboratory"
"TCHOL_L","Cholesterol - Total",2021,2023,"Laboratory"
"SSTST_J","Sex Steroid Hormone Panel - Serum (Surplus)",2017,2018,"Laboratory"
"P_TST","Sex Steroid Hormone Panel - Serum",2017,2020,"Laboratory"
"SSEVD_A","Enterovirus D68 (EV-D68) - Serum (Surplus)",1999,2000,"Laboratory"
"SSEVD_B","Enterovirus D68 (EV-D68) - Serum (Surplus)",2001,2002,"Laboratory"
"SSEVD_C","Enterovirus D68 (EV-D68) - Serum (Surplus)",2003,2004,"Laboratory"
"SSEVD_D","Enterovirus D68 (EV-D68) - Serum (Surplus)",2005,2006,"Laboratory"
"SSEVD_E","Enterovirus D68 (EV-D68) - Serum (Surplus)",2007,2008,"Laboratory"
"SSEVD_F","Enterovirus D68 (EV-D68) - Serum (Surplus)",2009,2010,"Laboratory"
"SSEVD_G","Enterovirus D68 (EV-D68) - Serum (Surplus)",2011,2012,"Laboratory"
"SSEVD_H","Enterovirus D68 (EV-D68) - Serum (Surplus)",2013,2014,"Laboratory"
"SSEVD_I","Enterovirus D68 (EV-D68) - Serum (Surplus)",2015,2016,"Laboratory"
"SSEVD_J","Enterovirus D68 (EV-D68) - Serum (Surplus)",2017,2018,"Laboratory"
"SSCAFE_A","Caffeine & Caffeine Metabolites - Urine (Surplus)",1999,2000,"Laboratory"
"SSCAFE_B","Caffeine & Caffeine Metabolites - Urine (Surplus)",2001,2002,"Laboratory"
"HSVA_L_R","Herpes Simplex Virus Type-1 and Type-2",2021,2023,"Laboratory"
"HSV_L_R","Herpes Simplex Virus Type-1 and Type-2 - Youth",2021,2023,"Laboratory"
"SSNEON_J","Neonicotinoids - Urine (Surplus)",2017,2018,"Laboratory"
"SSCH_J_R","Chlamydia Serology - Serum (Surplus)",2017,2018,"Laboratory"
"SSMR_J_R","Mycoplasma genitalium Resistance – Urine (Surplus)",2017,2018,"Laboratory"
"SSMG_J_R","Mycoplasma genitalium Serology - Serum (Surplus)",2017,2018,"Laboratory"
"ALB_CR_L","Albumin & Creatinine - Urine",2021,2023,"Laboratory"
"P_SSMMRV","Measles, Mumps, Rubella, & Varicella – Serum (Surplus)",2017,2020,"Laboratory"
"DOXPOL_H","Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs) - Pooled Samples",2013,2014,"Laboratory"
"FAR_L","Fatty Acids - Washed RBCs",2021,2023,"Laboratory"
"FFMR_L","Folate Forms - Total & Individual – Washed RBCs",2021,2023,"Laboratory"
"BIOPRO_L","Standard Biochemistry Profile",2021,2023,"Laboratory"
"VOCWB_L","Volatile Organic Compounds and Trihalomethanes/MTBE - Blood",2021,2023,"Laboratory"
"TRIGLY_L","Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides",2021,2023,"Laboratory"
"SSUVCM_J","Volatile Organic Compound (VOC) Metabolites: Benzene and Methylating Agent Biomarkers – Urine (Surplus)",2017,2018,"Laboratory"
"P_SSUVCM","Volatile Organic Compound (VOC) Metabolites: Benzene and Methylating Agent Biomarkers - Urine (Surplus)",2017,2020,"Laboratory"
"PAH_J","Polycyclic Aromatic Hydrocarbons (PAH) - Urine",2017,2018,"Laboratory"
"EPHPP_J","Personal Care and Consumer Product Chemicals and Metabolites",2017,2018,"Laboratory"
